	Sub.5_F1	Sub.5_F2	Sub.5_F3	Sub.5_S2	Sub.5_S1	Sub.6_F1	Sub.6_F2	Sub.6_F3	Sub.6_S2	Sub.6_S1	Sub.7_F1	Sub.7_F2	Sub.7_F3	Sub.7_S2	Sub.7_S1	Sub.8_F1	Sub.8_F2	Sub.8_F3	Sub.8_S2	Sub.8_S1	Sub.1_F1	Sub.1_F2	Sub.1_F3	Sub.1_S2	Sub.1_S1	Sub.2_F1	Sub.2_F2	Sub.2_F3	Sub.2_S2	Sub.2_S1	Sub.3_F1	Sub.3_F2	Sub.3_F3	Sub.3_S2	Sub.3_S1	Sub.4_F1	Sub.4_F2	Sub.4_F3	Sub.4_S2	Sub.4_S1
f__Peptostreptococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0
f__Porphyromonadaceae	110	220	129	22	58	550	389	342	411	742	213	779	135	244	147	509	1642	1113	26	59	855	696	377	2015	9895	1804	1018	1958	177	777	306	260	182	79	766	95	294	418	157	699
f__Prevotellaceae	1	0	1	0	0	1	0	2	0	0	0	0	4	4	2	0	2	2	9	21	0	0	0	0	3	260	26	443	38	208	56	2	90	73	350	0	2	0	0	0
f__Pseudomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0
f__Rhizobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
f__Rikenellaceae	263	380	192	57	71	61	85	39	102	111	306	377	42	542	212	74	112	106	16	27	0	0	0	1	0	598	293	711	99	337	65	94	76	94	826	158	610	810	320	1068
f__Ruminococcaceae	3975	4293	1164	4524	14307	646	534	443	936	2212	2410	3891	2694	13148	11400	1176	1990	1464	1329	6786	5033	3563	1864	10071	36977	19777	6169	15610	11348	69765	1269	972	950	5738	40481	241	759	2361	673	3354
f__S24-7	2	2	6	3	4	2	2	5	4	4	5	3	6	2	7	7	4	5	4	4	0	0	3	0	0	1	0	3	1	2	4	4	9	3	10	5	3	4	1	7
f__Staphylococcaceae	0	0	0	0	0	0	0	0	0	0	0	1	13	1	0	9	11	10	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
f__Streptococcaceae	0	0	0	44	111	3	6	1	94	238	0	0	0	104	67	0	0	0	13	66	0	0	0	1845	4467	0	0	0	325	1635	0	1	1	856	3475	0	0	1	265	957
f__Synergistaceae	0	0	0	9	197	3	5	1	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	6	155	350
f__Syntrophomonadaceae	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Tissierellaceae	1	0	0	0	90	0	0	0	0	0	0	0	0	5	0	0	0	0	4	11	0	0	0	4	4	0	0	0	0	2	0	0	0	4	17	0	0	0	5	21
f__Turicibacteraceae	227	1180	230	13	12	1	0	2	1	4	0	0	0	0	0	0	0	0	13	109	0	0	0	4	4	0	2	1	307	2531	0	0	0	2	47	0	0	0	2	0
f__unclassified	235	295	136	889	1642	83	55	103	104	168	143	81	202	471	368	463	1420	981	677	3666	308	781	315	345	1437	733	306	464	3335	21679	1690	1226	1440	1534	7682	76	184	478	248	1007
f__Veillonellaceae	102	128	107	106	235	0	0	1	264	540	418	1479	338	456	279	0	0	1	82	286	0	0	0	373	1540	4	0	0	38	219	1	1	0	62	286	1	0	1	0	1
f__Verrucomicrobiaceae	3131	5242	1328	43	72	1438	537	1282	31	66	1590	4585	1260	1112	438	3261	5677	4034	8	37	4	2	5	0	0	6	6	8	0	1	7426	7096	4927	15	88	437	1195	2378	759	2218
f__Victivallaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Xanthomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
