	Sub.5_F1	Sub.5_F2	Sub.5_F3	Sub.5_S2	Sub.5_S1	Sub.6_F1	Sub.6_F2	Sub.6_F3	Sub.6_S2	Sub.6_S1	Sub.7_F1	Sub.7_F2	Sub.7_F3	Sub.7_S2	Sub.7_S1	Sub.8_F1	Sub.8_F2	Sub.8_F3	Sub.8_S2	Sub.8_S1	Sub.1_F1	Sub.1_F2	Sub.1_F3	Sub.1_S2	Sub.1_S1	Sub.2_F1	Sub.2_F2	Sub.2_F3	Sub.2_S2	Sub.2_S1	Sub.3_F1	Sub.3_F2	Sub.3_F3	Sub.3_S2	Sub.3_S1	Sub.4_F1	Sub.4_F2	Sub.4_F3	Sub.4_S2	Sub.4_S1
g__Dialister	0	0	0	69	110	0	0	1	264	538	0	0	0	362	253	0	0	0	0	4	0	0	0	350	1465	4	0	0	0	6	0	0	0	56	258	0	0	0	0	1
g__Dorea	853	995	875	386	1162	537	280	387	1180	2492	174	184	545	313	263	911	1210	715	219	1229	3770	4768	2313	4038	18564	7645	4207	8199	668	3639	960	695	1830	2227	14365	266	1002	1972	54	366
g__Eggerthella	1	2	4	19	47	16	11	16	28	125	0	0	2	5	4	2	3	7	0	2	128	158	100	371	733	5	2	7	2	8	2	4	4	19	73	6	18	51	55	216
g__Enterobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Enterococcus	2	31	8	5	4	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	26	23	9	2	9	14	1	8	1	10	0	0	0	0	1	0	0	0	0	2
g__Epulopiscium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	38	0	0	0	0	0	0	0	0	6	69	0	0	0	22	102	0	0	0	8	21
g__Eubacterium	20	74	64	18	17	59	59	42	87	239	16	27	37	12	8	4	90	60	17	114	276	704	389	683	1216	134	108	261	996	3828	319	357	367	942	3455	4	16	41	6	16
g__Facklamia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Faecalibacterium	2836	2829	315	753	2383	3	3	3	0	7	1277	1696	2060	3336	2659	2	3	3	112	568	3	0	4	856	4684	13185	4046	10898	1660	11072	8	4	3	416	2742	9	3	2	4	9
g__Finegoldia	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
g__Fusobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Gallicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g__Gemella	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5	5	0	0	0	1	7	0	0	0	1	2	0	0	0	1	1
g__GW-34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Haemophilus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4	0	0	0	0	0
g__Helcococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Helicobacter	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Holdemania	3	15	14	1	2	11	10	28	2	5	0	5	4	1	1	2	16	7	0	4	0	0	0	0	0	75	36	77	4	18	21	20	17	0	8	2	4	10	6	12
g__Jeotgalicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Johnsonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Kocuria	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
g__Lachnoanaerobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Lachnobacterium	0	0	0	6	10	0	0	0	0	0	0	0	0	22	18	0	0	0	0	0	0	0	0	0	0	0	0	0	32	94	0	0	0	0	0	0	0	18	6	55
g__Lachnospira	0	1	0	22	45	0	0	0	11	28	0	0	0	581	339	0	0	0	27	18	0	0	0	0	0	0	0	0	104	191	0	0	0	14	95	0	0	6	10	70
g__Lactobacillus	0	0	3	0	1	1	1	3	1	4	2	0	0	8	8	0	0	0	1	0	0	0	1	1	3	0	0	1	28	132	2	4	3	43	150	0	1	0	0	2
g__Lactococcus	0	0	0	3	7	3	6	1	38	87	0	0	0	12	7	0	0	0	3	11	0	0	0	0	0	0	0	0	1	1	0	0	0	4	2	0	0	0	1	0
g__Leuconostoc	0	0	0	0	0	0	0	0	0	0	0	0	0	113	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Massilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Megasphaera	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Mobiluncus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Mogibacterium	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	5	0	0	0	47	59	0	0	0	1	4
g__Moryella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g__Mucispirillum	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
g__Neisseria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
g__Odoribacter	13	65	28	8	18	1	1	0	1	0	30	39	7	43	8	28	39	43	3	0	1	0	0	0	0	0	0	0	0	0	6	8	3	4	58	10	49	35	23	79
g__Olsenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g__Oribacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1
g__Oscillospira	275	498	340	518	1223	142	120	118	220	392	179	445	112	990	699	152	316	179	221	559	1545	887	472	1603	6055	1473	505	1295	1024	4406	370	350	338	358	2167	40	244	371	112	449
g__Oxalobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Papillibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Parabacteroides	110	220	129	21	23	550	389	342	411	742	213	779	135	244	147	509	1642	1113	24	54	855	696	377	2015	9895	1804	1018	1958	177	776	306	260	182	78	758	95	294	418	148	675
g__Paraprevotella	1446	1142	989	14	20	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g__Parvimonas	1	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4
g__Pediococcus	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Peptococcus	25	75	41	53	154	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	463	236	307	44	125	0	7	0	57	224
